Project_Type,Duration_Days,Hourly_Rate,Misc_Cost,Material_Cost,Developers,Designers,QA_Engineers,Labourers,Supervisors,Coordinators,Staff,Technicians,Creatives,Analysts,Scientists,Assistants,Total_Cost
Marketing,102,570,49732,86820,0,0,0,0,0,0,0,0,7,19,0,0,1647718.89499051
Research,109,963,46090,77221,0,0,0,0,0,0,0,0,0,0,2,12,1588204.8594998303
Construction,30,460,24769,38693,0,0,0,12,17,0,0,0,0,0,0,0,451466.4709247199
Marketing,24,489,24118,45773,0,0,0,0,0,0,0,0,19,12,0,0,436724.20612519066
Marketing,73,804,16394,79092,0,0,0,0,0,0,0,0,19,7,0,0,1618476.7307494704
Research,139,639,28483,58555,0,0,0,0,0,0,0,0,0,0,8,15,2134658.1991052334
Event,90,861,8943,99475,0,0,0,0,0,2,6,10,0,0,0,0,1500930.6714091292
Construction,53,461,42065,42606,0,0,0,16,15,0,0,0,0,0,0,0,842427.2863925431
Marketing,49,637,22262,19268,0,0,0,0,0,0,0,0,13,9,0,0,723998.9003832035
IT,80,820,7027,12695,11,19,17,0,0,0,0,0,0,0,0,0,3100355.372973014
Event,172,588,17666,48660,0,0,0,0,0,10,7,9,0,0,0,0,2691380.3240843536
Research,108,983,15965,34538,0,0,0,0,0,0,0,0,0,0,3,1,474599.0608974653
Event,110,761,32266,62992,0,0,0,0,0,5,14,7,0,0,0,0,2270965.330708701
Event,72,540,46523,64268,0,0,0,0,0,4,5,7,0,0,0,0,728043.2116405251
Research,152,470,38827,65820,0,0,0,0,0,0,0,0,0,0,7,19,1964594.241657624
Marketing,37,919,8627,35939,0,0,0,0,0,0,0,0,11,7,0,0,662410.9332646602
IT,138,676,6306,71373,13,9,3,0,0,0,0,0,0,0,0,0,2409904.567283212
IT,71,976,36968,23545,12,15,9,0,0,0,0,0,0,0,0,0,2553996.064333124
Marketing,122,796,44353,72003,0,0,0,0,0,0,0,0,12,7,0,0,1951890.1439235047
IT,90,998,31736,10854,5,1,1,0,0,0,0,0,0,0,0,0,671197.4306227539
Event,135,429,26556,60859,0,0,0,0,0,6,4,11,0,0,0,0,1297020.6152468328
Research,125,909,5197,99045,0,0,0,0,0,0,0,0,0,0,11,16,3168775.766504338
IT,133,486,49357,61663,3,4,19,0,0,0,0,0,0,0,0,0,1796045.5580720813
Marketing,105,788,24360,93879,0,0,0,0,0,0,0,0,7,18,0,0,2189766.4156542383
IT,20,772,26918,95981,10,3,7,0,0,0,0,0,0,0,0,0,436918.30305459327
IT,69,301,36616,30932,5,9,9,0,0,0,0,0,0,0,0,0,547867.2408066734
Event,156,507,6154,14499,0,0,0,0,0,1,11,17,0,0,0,0,2315786.3623664933
Research,155,637,16969,12869,0,0,0,0,0,0,0,0,0,0,3,16,1902231.2429098682
Research,178,460,43467,33328,0,0,0,0,0,0,0,0,0,0,14,16,2537044.886799654
Event,154,939,49064,80091,0,0,0,0,0,19,14,6,0,0,0,0,5775130.947612019
Research,60,737,10895,29738,0,0,0,0,0,0,0,0,0,0,2,1,171969.71583381022
Research,70,958,42410,83744,0,0,0,0,0,0,0,0,0,0,12,14,1883314.845832948
Research,15,398,37635,73208,0,0,0,0,0,0,0,0,0,0,5,17,252777.43106114995
Marketing,125,490,15492,16102,0,0,0,0,0,0,0,0,1,3,0,0,284326.68377735757
Construction,34,865,5569,61885,0,0,0,18,15,0,0,0,0,0,0,0,1043271.1175443119
IT,113,692,17533,64748,10,3,18,0,0,0,0,0,0,0,0,0,2506613.8042973983
IT,161,824,28355,97545,7,4,13,0,0,0,0,0,0,0,0,0,3307056.275511127
Event,152,391,37097,88657,0,0,0,0,0,19,17,10,0,0,0,0,2858987.3258576808
Event,110,563,24508,13051,0,0,0,0,0,12,5,7,0,0,0,0,1535824.1797869622
Marketing,153,568,42233,27019,0,0,0,0,0,0,0,0,10,19,0,0,2598685.0687916027
IT,129,903,42945,35945,5,9,12,0,0,0,0,0,0,0,0,0,3101550.517964721
IT,43,395,12805,15237,16,8,13,0,0,0,0,0,0,0,0,0,654814.4938207952
Research,138,571,18500,63222,0,0,0,0,0,0,0,0,0,0,5,3,708452.2929838517
Research,95,996,32932,71389,0,0,0,0,0,0,0,0,0,0,5,15,1990321.4013336843
IT,103,752,34899,53919,16,7,4,0,0,0,0,0,0,0,0,0,2178867.159243034
Construction,19,399,7849,50158,0,0,0,10,19,0,0,0,0,0,0,0,271617.08409017575
Construction,105,624,21364,14611,0,0,0,16,16,0,0,0,0,0,0,0,2131602.712370842
Event,93,963,11833,21938,0,0,0,0,0,1,1,19,0,0,0,0,1914814.4830355858
Event,110,567,45770,48304,0,0,0,0,0,8,10,11,0,0,0,0,1904208.9593386753
IT,99,904,20305,85353,2,19,9,0,0,0,0,0,0,0,0,0,2787424.502400897
Marketing,67,800,43513,36092,0,0,0,0,0,0,0,0,11,4,0,0,885848.24337026
Marketing,147,756,40735,57295,0,0,0,0,0,0,0,0,3,17,0,0,2320276.341581661
Event,45,395,28190,17357,0,0,0,0,0,5,12,17,0,0,0,0,655618.8576773735
Event,114,572,49912,24397,0,0,0,0,0,16,13,19,0,0,0,0,3208582.3232939425
IT,109,695,12400,34466,12,9,7,0,0,0,0,0,0,0,0,0,2168523.8404222117
Marketing,92,805,10486,18335,0,0,0,0,0,0,0,0,5,3,0,0,622639.1800708156
Marketing,34,768,45419,70566,0,0,0,0,0,0,0,0,16,7,0,0,716499.7661357655
Construction,142,462,43102,84460,0,0,0,11,11,0,0,0,0,0,0,0,1566363.728142571
Construction,85,308,28625,92873,0,0,0,12,17,0,0,0,0,0,0,0,878551.4829654872
Construction,36,933,22924,98092,0,0,0,5,6,0,0,0,0,0,0,0,491503.11363763735
Event,145,795,47348,36432,0,0,0,0,0,17,7,13,0,0,0,0,4345633.862783478
Event,117,481,31790,35289,0,0,0,0,0,19,7,3,0,0,0,0,1705912.556831241
Research,150,519,8709,40355,0,0,0,0,0,0,0,0,0,0,8,9,1376714.855796392
Marketing,122,708,38591,92848,0,0,0,0,0,0,0,0,6,6,0,0,1173617.7101253453
Construction,53,984,27700,44620,0,0,0,15,16,0,0,0,0,0,0,0,1690152.462409052
Research,173,526,35354,23843,0,0,0,0,0,0,0,0,0,0,18,15,3062193.962003909
IT,58,825,47356,78866,16,11,12,0,0,0,0,0,0,0,0,0,1987994.1910598401
Research,17,421,41487,94665,0,0,0,0,0,0,0,0,0,0,18,5,299588.7583320535
IT,164,801,45080,48088,1,13,16,0,0,0,0,0,0,0,0,0,4037797.8150826474
Construction,19,541,34548,47892,0,0,0,1,1,0,0,0,0,0,0,0,110381.29312714815
Construction,20,581,9158,72680,0,0,0,17,13,0,0,0,0,0,0,0,431531.41546138073
